ideltter,idtercmplx,cdepaysiso4n,incl,ordaff,ord_list
14186721,13018473,3017,1,0,1.0000000000
14186722,13018473,442,0,0,2.0000000000
14186723,13018473,792,0,0,3.0000000000
14189892,13020245,3017,1,0,1.0000000000
14189893,13020245,56,1,0,2.0000000000
14189894,13020245,3041,1,0,3.0000000000
14189896,13020245,442,1,0,4.0000000000
35636399,33032193,3041,1,0,1.0000000000
35636400,33032193,3017,1,0,2.0000000000
35636401,33032193,442,1,0,3.0000000000
35636402,33032193,56,1,0,4.0000000000
39045428,36415257,3041,1,0,1.0000000000
39045429,36415257,3017,1,0,2.0000000000
39045430,36415257,442,1,0,3.0000000000
39045431,36415257,56,1,0,4.0000000000
90862597,88071631,3041,1,0,1.0000000000
90862598,88071631,3017,1,0,2.0000000000
90862599,88071631,442,1,0,3.0000000000
90862600,88071631,56,1,0,4.0000000000
91281078,88488422,3041,1,0,1.0000000000
91281079,88488422,3017,1,0,2.0000000000
91281080,88488422,442,1,0,3.0000000000
91281081,88488422,56,1,0,4.0000000000
92129806,89335329,3041,1,0,1.0000000000
92129807,89335329,3017,1,0,2.0000000000
92129808,89335329,442,1,0,3.0000000000
92129809,89335329,56,1,0,4.0000000000
92967673,90171959,3041,1,0,1.0000000000
92967674,90171959,3017,1,0,2.0000000000
92967675,90171959,442,1,0,3.0000000000
92967676,90171959,56,1,0,4.0000000000
93408168,90612054,3041,1,0,1.0000000000
93408169,90612054,3017,1,0,2.0000000000
93408170,90612054,442,1,0,3.0000000000
93408171,90612054,56,1,0,4.0000000000
95856962,93056953,3041,1,0,1.0000000000
95856963,93056953,3017,1,0,2.0000000000
95856964,93056953,442,1,0,3.0000000000
95856965,93056953,56,1,0,4.0000000000
97979672,95177557,3041,1,0,1.0000000000
97979673,95177557,3017,1,0,2.0000000000
97979674,95177557,442,1,0,3.0000000000
97979675,95177557,56,1,0,4.0000000000
98990247,96186668,3041,1,0,1.0000000000
98990248,96186668,3017,1,0,2.0000000000
98990249,96186668,442,1,0,3.0000000000
98990250,96186668,56,1,0,4.0000000000
99419166,96615271,3041,1,0,1.0000000000
99419167,96615271,3017,1,0,2.0000000000
99419168,96615271,442,1,0,3.0000000000
99419169,96615271,56,1,0,4.0000000000
100753400,97948005,3041,1,0,1.0000000000
100753401,97948005,3017,1,0,2.0000000000
100753402,97948005,442,1,0,3.0000000000
100753403,97948005,56,1,0,4.0000000000
100762745,97957251,3041,1,0,1.0000000000
100762746,97957251,3017,1,0,2.0000000000
100762747,97957251,442,1,0,3.0000000000
100762748,97957251,56,1,0,4.0000000000
103406331,100598399,3041,1,0,1.0000000000
103406332,100598399,3017,1,0,2.0000000000
103406333,100598399,442,1,0,3.0000000000
103406334,100598399,56,1,0,4.0000000000
103833728,101025344,3041,1,0,1.0000000000
103833729,101025344,3017,1,0,2.0000000000
103833730,101025344,442,1,0,3.0000000000
103833731,101025344,56,1,0,4.0000000000
104386563,101575545,3041,1,0,1.0000000000
104386564,101575545,3017,1,0,2.0000000000
104386565,101575545,442,1,0,3.0000000000
104386566,101575545,56,1,0,4.0000000000
105717475,102905673,3041,1,0,1.0000000000
105717476,102905673,3017,1,0,2.0000000000
105717477,102905673,442,1,0,3.0000000000
105717478,102905673,56,1,0,4.0000000000
106735874,103912435,3041,1,0,1.0000000000
106735875,103912435,3017,1,0,2.0000000000
106735876,103912435,442,1,0,3.0000000000
106735877,103912435,56,1,0,4.0000000000
107786424,104960167,3041,1,0,1.0000000000
107786425,104960167,3017,1,0,2.0000000000
107786426,104960167,442,1,0,3.0000000000
107786427,104960167,56,1,0,4.0000000000
109377364,106550083,3041,1,0,1.0000000000
109377365,106550083,3017,1,0,2.0000000000
109377366,106550083,442,1,0,3.0000000000
109377367,106550083,56,1,0,4.0000000000
110339160,107510038,3041,1,0,1.0000000000
110339161,107510038,3017,1,0,2.0000000000
110339162,107510038,442,1,0,3.0000000000
110339163,107510038,56,1,0,4.0000000000
110853666,108024264,3041,1,0,1.0000000000
110853667,108024264,3017,1,0,2.0000000000
110853668,108024264,442,1,0,3.0000000000
110853669,108024264,56,1,0,4.0000000000
114012872,111176447,3041,1,0,1.0000000000
114012873,111176447,3017,1,0,2.0000000000
114012874,111176447,442,1,0,3.0000000000
114012875,111176447,56,1,0,4.0000000000
114721660,111882533,3041,1,0,1.0000000000
114721661,111882533,3017,1,0,2.0000000000
114721662,111882533,442,1,0,3.0000000000
114721663,111882533,56,1,0,4.0000000000
115187351,112347985,3041,1,0,1.0000000000
115187352,112347985,3017,1,0,2.0000000000
115187353,112347985,442,1,0,3.0000000000
115187354,112347985,56,1,0,4.0000000000
115257300,112417523,3041,1,0,1.0000000000
115257301,112417523,3017,1,0,2.0000000000
115257302,112417523,442,1,0,3.0000000000
115257303,112417523,56,1,0,4.0000000000
115264597,112424363,3041,1,0,1.0000000000
115264598,112424363,3017,1,0,2.0000000000
115264599,112424363,442,1,0,3.0000000000
115264600,112424363,56,1,0,4.0000000000
116244024,113402245,3041,1,0,1.0000000000
116244025,113402245,3017,1,0,2.0000000000
116244026,113402245,442,1,0,3.0000000000
116244027,113402245,56,1,0,4.0000000000
116678101,113835939,3041,1,0,1.0000000000
116678102,113835939,3017,1,0,2.0000000000
116678103,113835939,442,1,0,3.0000000000
116678104,113835939,56,1,0,4.0000000000
117164054,114321088,3041,1,0,1.0000000000
117164055,114321088,3017,1,0,2.0000000000
117164056,114321088,442,1,0,3.0000000000
117164057,114321088,56,1,0,4.0000000000
155665614,152593202,3041,1,1,1.0000000000
155665615,152593202,3017,1,2,2.0000000000
155665616,152593202,442,1,3,3.0000000000
155665617,152593202,56,1,4,4.0000000000
14190662,13020655,3017,1,0,1.0000000000
14190663,13020655,442,0,0,2.0000000000
14190664,13020655,792,0,0,3.0000000000
26896487,24395309,3017,1,0,1.0000000000
26896488,24395309,792,0,0,2.0000000000
26896489,24395309,442,0,0,3.0000000000
36457493,33846108,3017,1,0,1.0000000000
36457494,33846108,792,0,0,2.0000000000
36457495,33846108,442,0,0,3.0000000000
98557598,95754182,3017,1,0,1.0000000000
98557599,95754182,792,0,0,2.0000000000
98557600,95754182,442,0,0,3.0000000000
14190675,13020659,3017,1,0,1.0000000000
14190676,13020659,12,1,0,2.0000000000
14190677,13020659,442,0,0,3.0000000000
14190678,13020659,792,0,0,4.0000000000
15566836,14241712,3017,1,0,1.0000000000
15566837,14241712,12,1,0,2.0000000000
15566838,14241712,792,0,0,3.0000000000
15566839,14241712,442,0,0,4.0000000000
26896501,24395321,3017,1,0,1.0000000000
26896503,24395321,12,1,0,2.0000000000
26896505,24395321,792,0,0,3.0000000000
26896507,24395321,442,0,0,4.0000000000
36457524,33846121,3017,1,0,1.0000000000
36457525,33846121,12,1,0,2.0000000000
36457526,33846121,792,0,0,3.0000000000
36457527,33846121,442,0,0,4.0000000000
90423620,87635192,3017,1,0,1.0000000000
90423621,87635192,12,1,0,2.0000000000
90423622,87635192,792,0,0,3.0000000000
90423623,87635192,442,0,0,4.0000000000
105717479,102905674,3017,1,0,1.0000000000
105717480,102905674,12,1,0,2.0000000000
105717481,102905674,792,0,0,3.0000000000
105717482,102905674,442,0,0,4.0000000000
14264484,13063208,826,1,0,1.0000000000
14264485,13063208,372,1,0,2.0000000000
27242244,24739919,826,1,0,1.0000000000
27242245,24739919,372,1,0,2.0000000000
167355764,164150516,826,1,1,1.0000000000
167355765,164150516,372,1,2,2.0000000000
167355766,164150516,296,1,3,3.0000000000
167355767,164150516,470,1,4,4.0000000000
167355768,164150516,454,1,5,5.0000000000
167355769,164150516,690,1,6,6.0000000000
167355770,164150516,776,1,7,7.0000000000
167355771,164150516,798,1,8,8.0000000000
167355772,164150516,800,1,9,9.0000000000
167355773,164150516,894,1,10,10.0000000000
167355774,164150516,24,1,11,11.0000000000
167355775,164150516,270,1,12,12.0000000000
167355776,164150516,28,1,13,13.0000000000
167355777,164150516,52,1,14,14.0000000000
167355778,164150516,44,1,15,15.0000000000
167355779,164150516,212,1,16,16.0000000000
167355780,164150516,308,1,17,17.0000000000
167355781,164150516,388,1,18,18.0000000000
167355782,164150516,659,1,19,19.0000000000
167355783,164150516,662,1,20,20.0000000000
167355784,164150516,780,1,21,21.0000000000
167355785,164150516,670,1,22,22.0000000000
14269073,13065988,2136,1,0,1.0000000000
14269074,13065988,2039,0,0,2.0000000000
14269075,13065988,3041,0,0,3.0000000000
14269076,13065988,3017,0,0,4.0000000000
14269077,13065988,56,0,0,5.0000000000
14269078,13065988,442,0,0,6.0000000000
27244249,24741542,2136,1,0,1.0000000000
27244250,24741542,3041,0,0,2.0000000000
27244251,24741542,3017,0,0,3.0000000000
27244252,24741542,2039,0,0,4.0000000000
27244253,24741542,442,0,0,5.0000000000
27244254,24741542,56,0,0,6.0000000000
14279797,13072511,2136,1,0,1.0000000000
29828680,27257278,2136,1,0,1.0000000000
89981318,87197309,2136,1,0,1.0000000000
90416949,87628679,2136,1,0,1.0000000000
90849011,88058573,2136,1,0,1.0000000000
91260593,88469286,2136,1,0,1.0000000000
92543865,89748631,2136,1,0,1.0000000000
92548276,89752919,2136,1,0,1.0000000000
93408186,90612062,2136,1,0,1.0000000000
95856970,93056958,2136,1,0,1.0000000000
96729505,93929121,2136,1,0,1.0000000000
98979234,96175707,2136,1,0,1.0000000000
98990260,96186675,2136,1,0,1.0000000000
102520050,99712645,2136,1,0,1.0000000000
102536909,99729369,2136,1,0,1.0000000000
103383791,100576035,2136,1,0,1.0000000000
103414336,100606204,2136,1,0,1.0000000000
103833808,101025388,2136,1,0,1.0000000000
105263690,102452308,2136,1,0,1.0000000000
105712447,102900696,2136,1,0,1.0000000000
106189653,103376511,2136,1,0,1.0000000000
106735881,103912437,2136,1,0,1.0000000000
107732547,104906673,2136,1,0,1.0000000000
108225807,105399425,2136,1,0,1.0000000000
108727381,105900618,2136,1,0,1.0000000000
108812577,105985699,2136,1,0,1.0000000000
112234685,109404580,2136,1,0,1.0000000000
112672357,109842076,2136,1,0,1.0000000000
112683268,109852902,2136,1,0,1.0000000000
113831620,110997347,2136,1,0,1.0000000000
115257622,112417672,2136,1,0,1.0000000000
115264797,112424396,2136,1,0,1.0000000000
115730050,112889296,2136,1,0,1.0000000000
116210212,113368544,2136,1,0,1.0000000000
117580451,114737395,2136,1,0,1.0000000000
117585567,114742235,2136,1,0,1.0000000000
118109353,115263281,2136,1,0,1.0000000000
14204851,13028429,2136,1,0,1.0000000000
27247632,24743597,2136,1,0,1.0000000000
16924957,15536527,2136,1,0,1.0000000000
60644939,57943790,2136,1,0,1.0000000000
76037017,73290292,3041,1,0,1.0000000000
76037018,73290292,3017,1,0,2.0000000000
76037019,73290292,442,1,0,3.0000000000
76037020,73290292,56,1,0,4.0000000000
14186380,13018373,2136,1,0,1.0000000000
27254205,24748371,2136,1,0,1.0000000000
90404828,87618168,2136,1,0,1.0000000000
90849034,88058583,2136,1,0,1.0000000000
91269806,88477259,2136,1,0,1.0000000000
92534755,89740382,2136,1,0,1.0000000000
97968321,95166283,2136,1,0,1.0000000000
98075696,95273233,2136,1,0,1.0000000000
100791984,97985917,2136,1,0,1.0000000000
104367841,101556872,2136,1,0,1.0000000000
105717569,102905714,2136,1,0,1.0000000000
106735925,103912467,2136,1,0,1.0000000000
107285521,104461460,2136,1,0,1.0000000000
112234706,109404591,2136,1,0,1.0000000000
113831670,110997361,2136,1,0,1.0000000000
116678271,113836022,2136,1,0,1.0000000000
117160509,114317563,2136,1,0,1.0000000000
117580730,114737652,2136,1,0,1.0000000000
117633792,114790075,2136,1,0,1.0000000000
117645156,114800213,2136,1,0,1.0000000000
14199546,13025375,2136,1,0,1.0000000000
14199547,13025375,826,1,0,2.0000000000
14199548,13025375,372,1,0,3.0000000000
27255233,24749159,2136,1,0,1.0000000000
27255234,24749159,826,0,0,2.0000000000
27255235,24749159,372,0,0,3.0000000000
91287242,88494263,2136,1,0,1.0000000000
91287243,88494263,826,0,0,2.0000000000
91287244,88494263,372,0,0,3.0000000000
92544026,89748759,2136,1,0,1.0000000000
92544027,89748759,826,0,0,2.0000000000
92544028,89748759,372,0,0,3.0000000000
92967803,90172034,2136,1,0,1.0000000000
92967804,90172034,826,0,0,2.0000000000
92967805,90172034,372,0,0,3.0000000000
93898941,91101787,2136,1,0,1.0000000000
93898942,91101787,826,0,0,2.0000000000
93898943,91101787,372,0,0,3.0000000000
98557625,95754195,2136,1,0,1.0000000000
98557626,95754195,826,0,0,2.0000000000
98557627,95754195,372,0,0,3.0000000000
98979257,96175726,2136,1,0,1.0000000000
98979258,96175726,826,0,0,2.0000000000
98979259,96175726,372,0,0,3.0000000000
99444986,96640418,2136,1,0,1.0000000000
99444987,96640418,826,0,0,2.0000000000
99444988,96640418,372,0,0,3.0000000000
101654080,98847325,2136,1,0,1.0000000000
101654081,98847325,826,0,0,2.0000000000
101654082,98847325,372,0,0,3.0000000000
102536951,99729392,2136,1,0,1.0000000000
102536952,99729392,826,0,0,2.0000000000
102536953,99729392,372,0,0,3.0000000000
102972597,100164993,2136,1,0,1.0000000000
102972598,100164993,826,0,0,2.0000000000
102972599,100164993,372,0,0,3.0000000000
103383827,100576052,2136,1,0,1.0000000000
103383828,100576052,826,0,0,2.0000000000
103383829,100576052,372,0,0,3.0000000000
106207796,103394595,2136,1,0,1.0000000000
106207797,103394595,826,0,0,2.0000000000
106207798,103394595,372,0,0,3.0000000000
106222766,103409683,2136,1,0,1.0000000000
106222767,103409683,826,0,0,2.0000000000
106222768,103409683,372,0,0,3.0000000000
115281260,112440503,2136,1,0,1.0000000000
115281261,112440503,826,0,0,2.0000000000
115281262,112440503,372,0,0,3.0000000000
115730076,112889309,2136,1,0,1.0000000000
115730077,112889309,826,0,0,2.0000000000
115730078,112889309,372,0,0,3.0000000000
117142316,114299848,2136,1,0,1.0000000000
117142317,114299848,826,0,0,2.0000000000
117142318,114299848,372,0,0,3.0000000000
117152856,114310137,2136,1,0,1.0000000000
117152857,114310137,826,0,0,2.0000000000
117152858,114310137,372,0,0,3.0000000000
117633793,114790076,2136,1,0,1.0000000000
117633794,114790076,826,0,0,2.0000000000
117633795,114790076,372,0,0,3.0000000000
14317366,13098533,2136,1,0,1.0000000000
138636383,135731590,2136,1,1,1.0000000000
170097305,166848214,2136,1,1,1.0000000000
45739764,43064981,2136,1,0,1.0000000000
45783272,43108365,2136,1,0,1.0000000000
46306240,43630108,2136,1,0,1.0000000000
47189718,44511415,2136,1,0,1.0000000000
65887294,63175931,2136,1,0,1.0000000000
106240184,103426979,2136,1,0,1.0000000000
129909196,127024448,2136,1,0,1.0000000000
166611892,163418263,2136,1,0,1.0000000000
166662179,163468101,2136,1,0,1.0000000000
171065929,167813581,2136,1,0,1.0000000000
171623696,168365959,2136,1,0,1.0000000000
171641031,168383016,2136,1,0,1.0000000000
171737269,168478432,2136,1,0,1.0000000000
